,heuristic,board,distance,num_samples,distance_normalized,distance_normalized_chance
0,forcing,6_hard_full,0.00017927323040494903,616,0.11043230992944861,0.47048701298701245
1,forcing,6_hard_pruned,0.00020831687722159726,547,0.1139493318402137,0.5518913741065288
2,forcing,10_hard_full,2.2641604780891876e-05,482,0.010913253504389884,0.4272665188129333
3,forcing,10_hard_pruned,2.8905478734578694e-05,444,0.012834032558152941,0.5082323758883805
4,forcing,6_easy_full,0.0001320117872440948,714,0.09425641609228369,0.31582650245198807
5,forcing,6_easy_pruned,0.00012204558638920142,449,0.05479846828875144,0.22071481664888914
6,forcing,10_easy_full,1.4325295732488422e-05,819,0.011732417204908018,0.26035517352514576
7,forcing,10_easy_pruned,2.704012199231795e-05,553,0.014953187461751826,0.355790566925181
8,forcing,10_medium_full,2.308713783822804e-05,527,0.012166921640746177,0.39426675006092177
9,forcing,10_medium_pruned,2.7210583623671325e-05,419,0.011401234538318285,0.4028529403971531
10,non-linear,6_hard_full,0.0003034514978374575,616,0.1869261226678738,0.7963820838252655
11,non-linear,6_hard_pruned,0.00029245865067491526,547,0.15997488191917864,0.7748071531363497
12,non-linear,10_hard_full,4.0688246585875986e-05,482,0.019611734854392226,0.7678221417424038
13,non-linear,10_hard_pruned,4.662301033836012e-05,444,0.020700616590231896,0.8197519761880762
14,non-linear,6_easy_full,0.0002471190844094483,714,0.1764430262683461,0.5912105104210298
15,non-linear,6_easy_pruned,0.0003170730952446567,449,0.14236581976485085,0.5734146735798078
16,non-linear,10_easy_full,4.797848890563302e-05,819,0.03929438241371344,0.8719853354350611
17,non-linear,10_easy_pruned,6.6445196883123e-05,553,0.036744193876367015,0.8742776484225125
18,non-linear,10_medium_full,4.277116408447538e-05,527,0.022540403472518525,0.7304174288761816
19,non-linear,10_medium_pruned,4.96699014775049e-05,419,0.020811688719074555,0.7353633474455404
20,linear,6_hard_full,0.00030622970937570313,616,0.18863750097543314,0.8036732585596231
21,linear,6_hard_pruned,0.0003169593738470195,547,0.17337677749431965,0.8397166216268577
22,linear,10_hard_full,3.5834892932681195e-05,482,0.017272418393552334,0.6762351919640637
23,linear,10_hard_pruned,4.345068562577389e-05,444,0.019292104417843604,0.7639743798171014
24,linear,6_easy_full,0.00026919911263779527,714,0.1922081664233858,0.6440350212846377
25,linear,6_easy_pruned,0.00030128858521653537,449,0.13527857476222438,0.5448689855314147
26,linear,10_easy_full,5.000734432259692e-05,819,0.04095601500020688,0.9088587804239215
27,linear,10_easy_pruned,6.677109229891703e-05,553,0.03692441404130112,0.8785657398289277
28,linear,10_medium_full,4.1972321728958115e-05,527,0.022119413551160927,0.7167753316388491
29,linear,10_medium_pruned,5.411505981284231e-05,419,0.022674210061580928,0.8011739574158375
30,interaction,6_hard_full,0.00022928300626265415,616,0.14123833185779497,0.6017333234946863
31,interaction,6_hard_pruned,0.00022854905044994368,547,0.1250163305961192,0.6054922250461079
32,interaction,10_hard_full,2.8907989047922575e-05,482,0.013933650721098681,0.545518569284988
33,interaction,10_hard_pruned,3.2183542408233366e-05,444,0.014289492829255615,0.5658691341124159
34,interaction,6_easy_full,0.00029734224346456673,714,0.21230236183370066,0.7113649678191322
35,interaction,6_easy_pruned,0.00017621547436445388,449,0.07912074798963979,0.3186790056546342
36,interaction,10_easy_full,5.162506238344925e-05,819,0.04228092609204494,0.9382600070591784
37,interaction,10_easy_pruned,5.07034826369589e-05,553,0.02803902589823827,0.6671501274147269
38,interaction,10_medium_full,3.231035953159707e-05,527,0.017027559473151654,0.5517747819190231
39,interaction,10_medium_pruned,4.045928337869652e-05,419,0.01695243973567384,0.5990000619204077
40,density,6_hard_full,0.0003045829140129359,616,0.1876230750319685,0.7993513872491153
41,density,6_hard_pruned,0.00024268570511811036,547,0.13274908069960636,0.6429442926564758
42,density,10_hard_full,2.4794907062076213e-05,482,0.011951145203920734,0.4679011813528444
43,density,10_hard_pruned,3.06915112871213e-05,444,0.013627031011481857,0.5396354042183297
44,density,6_easy_full,0.0003947092161811026,714,0.28182238035330726,0.9443068216442135
45,density,6_easy_pruned,0.0005234820044488185,449,0.23504341999751951,0.9466973616109148
46,density,10_easy_full,3.3433376263514476e-05,819,0.027381935159818356,0.6076350981625946
47,density,10_easy_pruned,5.418785377066908e-05,553,0.02996588313518,0.7129970500503822
48,density,10_medium_full,3.8197369852344335e-05,527,0.020130013912185465,0.6523092198818309
49,density,10_medium_pruned,4.329720168380743e-05,419,0.01814152750551531,0.6410154684854574
